 part_of_speech |                   lemma                   |                                         definition                                         
 num            | M                                         | The thirteenth numeral symbol of the English alphabet, called em and written in the Latin 
 num            | k                                         | The eleventh numeral symbol of the English alphabet, called kay and written in the Latin s
 num            | sexagintillion                            | 10¹⁸³.
 num            | seventyone                                | Alternative form of seventy-one.
 particle       | nup                                       | No, nope.
 particle       | in before                                 | Alternative spelling of inb4.
 particle       | ba                                        | Used to indicate a tentative suggestion.
 particle       | hooden                                    | Only used in hooden horse
 particle       | -'                                        | Possessive marker used on plurals that end with -s (or -es, etc).
 particle       | uh-huh                                    | Yes; yeah.
 particle       | stay                                      | Aspect marker indicating frequency or permanence.
 particle       | lor                                       | Suggests that the reply given is the obvious or expected one.
 phrase         | ikyfl                                     | Initialism of I know you (or you're) fucking lying.
 phrase         | I was born in ...                         | I was born in ... (year).
 phrase         | more at eleven                            | Used after a statement that is typical or should be obvious.
 phrase         | until the cows freeze over                | For a very long period of time.
 phrase         | juice is worth the squeeze                | The effort put into something is justified by the outcome.
 phrase         | HH                                        | Initialism of Heil Hitler.
 phrase         | nighty night                              | Good night.
 phrase         | and crap                                  | Synonym of and shit.
 postp          | notwithstanding                           | In spite of, despite.
 postp          | ago                                       | Before now, before the present time
 postp          | apart                                     | Excluded from consideration.
 prefix         | keto-                                     | Derived from, substituted with, or involving a ketone.
 prefix         | Belgo-                                    | Combining form of Belgia and Belgian.
 prefix         | deutero-                                  | Second or secondary.
 prefix         | ribo-                                     | ribose
 prefix         | pneumon-                                  | Alternative form of pneumono- (before a vowel)
 prefix         | equi-                                     | Equal, equally.
 prefix         | ortho-                                    | Having an extra proportion of water.
 prefix         | coagulo-                                  | Related to coagulation.
 prep           | up against                                | In contact with, abutting.
 prep           | an                                        | In each; to or for each; per.
 prep           | other than                                | Except, besides.
 prep           | in terms of                               | [Of one variable or unit of measurement which has a known relationship to another] Using e
 prep           | foregain                                  | Directly opposite to; in the opposite scale to.
 prep           | nought withstanding                       | Alternative spelling of noughtwithstanding.
 prep           | over                                      | Expressing comparison.
 prep           | above                                     | In addition to; besides.
 prep_phrase    | for shit                                  | For nothing; to no purpose.
